,activity_id,person_id,distance_meters,duration_seconds,mode,travel_purpose,previous_activity_type,start_time,end_time,dest_bgrp,orig_bgrp,destination_land_use,origin_land_use,latitude,longitude
83,4611023126815852277,14875513078170061543,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 07:10:26,07:11:31,250173525002,250173524002,residential,commercial,42.36279,-71.085498
168,11410601424044714250,3828472936190519450,2735.878076739311,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 07:19:25,07:23:33,250173532002,250173531022,residential,commercial,42.359126,-71.092975
245,16705077016632421518,8644950421173390803,482.80201918482777,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 07:20:31,07:21:49,250173521021,250173521021,residential,commercial,42.369371,-71.077051
265,4347547886442548863,9842727746181313635,321.86800479620695,180,WALKING,EAT,HOME,2019-10-08 07:22:00,07:25:42,250173524002,250173524002,residential,commercial,42.363058,-71.092456
86,13588753519758234413,15001302736748103031,1448.4059616303443,1080,WALKING,EAT,HOME,2019-10-08 07:23:08,07:41:20,250173526001,250173524002,residential,commercial,42.363694,-71.087271
213,16728916295923275952,6282269072356101224,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 07:26:09,07:27:19,250173524002,250173524002,residential,commercial,42.36283,-71.087282
261,14153985833545497861,9592275878419511023,1609.34,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 07:26:49,07:29:43,250173523001,250173524002,residential,commercial,42.363148,-71.093133
173,9595354284231118132,4093116124860794298,5793.623846521377,480,PRIVATE_AUTO,EAT,HOME,2019-10-08 07:30:30,07:39:27,250173550003,250173524002,residential,commercial,42.363039,-71.088413
20,10641555800669415418,11017309052896660770,5149.888076739311,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 07:30:41,07:37:55,250173544001,250173524002,residential,commercial,42.363468,-71.088546
210,15140220990553557097,6150881613782007549,3540.548076739311,300,CARPOOL,EAT,HOME,2019-10-08 07:30:59,07:36:08,250173532001,250173524002,residential,commercial,42.36283,-71.087282
174,8728820142551634400,4126852521710009388,4184.283846521377,840,BIKING,EAT,HOME,2019-10-08 07:30:59,07:45:53,250173532002,250173524002,residential,commercial,42.365031,-71.092656
11,13714537161472182026,10565216380292886894,5632.69,540,CARPOOL,EAT,HOME,2019-10-08 07:30:59,07:40:38,250173532001,250173524002,residential,commercial,42.363027,-71.091578
28,10097414159153563948,11566013905750606216,160.93400239810347,120,WALKING,EAT,HOME,2019-10-08 07:34:26,07:37:19,250173531022,250173531022,residential,commercial,42.361342,-71.081267
79,13290276388581903765,14657534948237985219,4667.086153478622,360,PRIVATE_AUTO,EAT,HOME,2019-10-08 07:35:33,07:42:10,250173546001,250173524002,residential,commercial,42.363039,-71.088413
105,13544013529856472514,15860743746479255909,1609.34,1080,WALKING,EAT,HOME,2019-10-08 07:39:24,07:58:06,250173522001,250173524002,residential,commercial,42.363027,-71.091578
264,15107845607944506,9796314112838728067,4345.218076739311,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 07:40:21,07:47:28,250173529002,250173524002,residential,commercial,42.362666,-71.083994
16,17456839384374654982,10848168969521798388,0.0,0,WALKING,EAT,HOME,2019-10-08 07:41:07,07:42:02,250173524002,250173524002,residential,commercial,42.363148,-71.093133
191,16475563139464056325,553336502904058977,1609.34,1140,WALKING,EAT,HOME,2019-10-08 07:45:27,08:04:41,250173522001,250173524002,residential,commercial,42.363058,-71.092456
27,15012243903361501462,11446800998159831886,160.93400239810347,120,WALKING,EAT,HOME,2019-10-08 07:48:09,07:50:18,250173521022,250173521022,residential,commercial,42.371232,-71.080153
132,11130089552891765868,18389121617004096234,1287.4720191848278,240,BIKING,EAT,HOME,2019-10-08 07:52:35,07:56:56,250173526001,250173521022,residential,commercial,42.371827,-71.079453
32,17001711318435799293,11989010867424053893,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 07:54:45,07:55:55,250173524002,250173524002,residential,commercial,42.36279,-71.085498
223,13422803096827948542,6963664089917724586,965.6040383696557,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 08:02:57,08:04:45,250173524002,250173524002,residential,commercial,42.363164,-71.088442
250,16684059809005649476,8930340847307355539,321.86800479620695,240,WALKING,EAT,HOME,2019-10-08 08:05:07,08:09:47,250173531022,250173524002,residential,commercial,42.363164,-71.088442
186,7551992374666174975,5218441017107827844,1126.5379808151722,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 08:06:26,08:07:55,250173530004,250173524002,residential,commercial,42.36335,-71.08775
127,11906798667327446534,17795047725892526949,4023.35,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 08:12:19,08:19:41,250173542002,250173524002,residential,commercial,42.362844,-71.087726
121,1843956373564862980,1714310216775264499,2092.1419232606886,180,CARPOOL,EAT,HOME,2019-10-08 08:16:22,08:19:42,250173534001,250173524002,residential,commercial,42.363148,-71.093133
170,7321608079944565744,3966452573937553126,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 08:20:30,08:22:20,250173525002,250173524002,residential,commercial,42.363468,-71.088546
253,7003146350384687536,9152145871198684351,1931.208076739311,1380,WALKING,EAT,HOME,2019-10-08 08:24:00,08:47:42,250173531022,250173521022,residential,commercial,42.371232,-71.080153
229,6830864958730501237,7714946742100691068,1448.4059616303443,780,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 08:28:01,08:41:20,250173526001,250173521022,residential,commercial,42.371307,-71.083079
205,4039795048025412816,6021789790186256566,965.6040383696557,180,BIKING,EAT,HOME,2019-10-08 08:28:57,08:32:04,250173525001,250173524002,residential,commercial,42.363039,-71.088413
98,15671670171639380915,1541686732042350257,321.86800479620695,240,WALKING,EAT,HOME,2019-10-08 08:28:57,08:33:00,250173525001,250173524002,residential,commercial,42.363101,-71.087854
108,11515539397762994668,1610196091996445780,482.80201918482777,300,WALKING,EAT,HOME,2019-10-08 08:28:57,08:34:33,250173525001,250173524002,residential,commercial,42.366056,-71.092182
163,14133880266567265734,3315233699517892706,643.7360095924139,360,WALKING,EAT,HOME,2019-10-08 08:28:57,08:35:43,250173525001,250173524002,residential,commercial,42.36335,-71.08775
89,9565477117081999712,15107829573093906694,804.67,600,WALKING,EAT,HOME,2019-10-08 08:35:56,08:46:03,250173528002,250173524002,residential,commercial,42.363694,-71.087271
88,9171835322501025573,15055554954149279362,0.0,0,WALKING,EAT,HOME,2019-10-08 08:47:04,08:47:47,250173524002,250173524002,residential,commercial,42.36279,-71.085498
58,3501867041018307125,13668947876323090789,321.86800479620695,0,PRIVATE_AUTO,EAT,HOME,2019-10-08 08:47:17,08:47:56,250173525002,250173524002,residential,commercial,42.363694,-71.087271
246,9135663922394662379,8809881366108662468,965.6040383696557,720,WALKING,EAT,HOME,2019-10-08 08:51:09,09:03:34,250173531023,250173524002,residential,commercial,42.36283,-71.087282
252,11906602275868848759,8998011112861108393,1448.4059616303443,960,WALKING,EAT,HOME,2019-10-08 09:02:20,09:18:51,250173531011,250173524002,residential,commercial,42.36255,-71.085605
69,13393805934412066844,14147979010005916790,10621.643846521378,2220,BIKING,EAT,HOME,2019-10-08 09:11:03,09:48:06,250173549002,250173524002,residential,commercial,42.36255,-71.085605
187,16756651446941424782,5381048076982900821,6598.293846521377,720,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:11:03,09:23:15,250173549002,250173524002,residential,commercial,42.36255,-71.085605
36,10062573613838784123,12094384724206948233,2735.878076739311,1920,WALKING,EAT,HOME,2019-10-08 09:12:13,09:44:26,250173535002,250173524002,residential,commercial,42.362844,-71.087726
218,364153761770797845,6559635705825335694,5793.623846521377,600,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:19:17,09:29:39,250173541002,250173524002,residential,commercial,42.363058,-71.092456
119,10393737795282002990,17071208464548543206,804.67,540,WALKING,EAT,HOME,2019-10-08 09:20:52,09:30:51,250173523002,250173524002,residential,commercial,42.363468,-71.088546
130,8776440294744490813,18186998304765875642,2253.0759616303444,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:23:26,09:27:54,250173527002,250173523002,residential,commercial,42.364393,-71.082097
33,420451575487713801,11994008889211068819,2092.1419232606886,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:27:07,09:30:02,250173523001,250173524002,residential,commercial,42.362854,-71.087715
26,8513526612388809481,11340419752807547339,3218.68,1320,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 09:28:10,09:50:14,250173538001,250173523002,residential,commercial,42.366227,-71.0791
248,4761512276840923895,8849911869618362814,3540.548076739311,360,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:28:10,09:34:38,250173529001,250173523002,residential,commercial,42.366118,-71.078269
47,7150110874756403748,1289633667900646574,1287.4720191848278,120,CARPOOL,EAT,HOME,2019-10-08 09:38:29,09:41:12,250173528002,250173524002,residential,commercial,42.363468,-71.088546
195,12555505580344696608,5602267780732270176,1126.5379808151722,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:39:00,09:40:49,250173523001,250173521011,residential,commercial,42.37196,-71.075408
161,7361428527366464941,3267568417713620965,1448.4059616303443,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:39:44,09:41:46,250173523001,250173521011,residential,commercial,42.371938,-71.075402
243,5720586516487037476,8488061306633082777,2896.8119232606887,300,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:39:44,09:45:41,250173532003,250173524002,residential,commercial,42.362854,-71.087715
238,14937790532262128638,8187003724738719139,2414.01,1680,WALKING,EAT,HOME,2019-10-08 09:40:14,10:09:07,250173532001,250173524002,residential,commercial,42.365031,-71.092656
25,13850668131746227579,11313164682225001570,804.67,540,WALKING,EAT,HOME,2019-10-08 09:43:36,09:52:47,250173522001,250173521022,residential,commercial,42.371195,-71.079971
225,6824813187377549034,7257003078852321535,160.93400239810347,0,BIKING,EAT,HOME,2019-10-08 09:44:09,09:44:29,250173525002,250173524002,residential,commercial,42.36335,-71.08775
198,8873084624936530842,5659071884883605885,2414.01,1740,WALKING,EAT,HOME,2019-10-08 09:47:21,10:16:22,250173532002,250173524002,residential,commercial,42.363027,-71.091578
234,8967470223605159849,7898048331410826393,6276.426153478622,720,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:49:28,10:01:53,250173549002,250173523002,residential,commercial,42.365244,-71.082333
124,15023065365217625576,17447964335530279073,804.67,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:50:56,09:52:35,250173528002,250173524002,residential,commercial,42.363101,-71.087854
23,11132415527296360408,11114775888727238702,5632.69,1140,BIKING,EAT,HOME,2019-10-08 09:54:32,10:13:34,250173549002,250173524002,residential,commercial,42.363164,-71.088442
29,13205499814224532747,11628258542559288274,5310.821923260689,660,CARPOOL,EAT,HOME,2019-10-08 09:57:14,10:08:35,250173549002,250173524002,residential,commercial,42.363101,-71.087854
45,12769622001633481787,12778222880900058442,10782.577693042756,1200,PRIVATE_AUTO,EAT,HOME,2019-10-08 09:57:14,10:17:24,250173549002,250173524002,residential,commercial,42.36255,-71.085605
39,1706059417586254541,12285505455593466670,8851.369999999999,1800,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 09:57:14,10:27:37,250173549002,250173524002,residential,commercial,42.362854,-71.087715
212,17555860177730530313,6245031887219138081,2574.944038369656,1800,WALKING,EAT,HOME,2019-10-08 09:57:47,10:28:14,250173525001,250173521021,residential,commercial,42.369371,-71.077051
55,11504323514541091420,13469762955912856709,1609.34,1140,WALKING,EAT,HOME,2019-10-08 09:59:53,10:19:51,250173527001,250173524002,residential,commercial,42.363694,-71.087271
111,3065870965302223046,16466732970317799021,965.6040383696557,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 10:02:42,10:04:34,250173522001,250173521022,residential,commercial,42.371195,-71.079971
96,5593099676248904250,15339892272217660853,643.7360095924139,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 10:08:37,10:09:38,250173521011,250173522001,residential,commercial,42.371654,-71.086311
66,12166340996809015479,140052027704390773,3379.6138465213776,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 10:12:54,10:19:58,250173532003,250173521022,residential,commercial,42.371232,-71.080153
258,17916802713079190888,949450139898112937,7081.096153478622,780,PRIVATE_AUTO,EAT,HOME,2019-10-08 10:13:36,10:27:22,250173541004,250173521021,residential,commercial,42.367183,-71.074439
85,12882683416515336785,1489607224033161170,9012.303846521378,840,PRIVATE_AUTO,EAT,HOME,2019-10-08 10:33:36,10:48:19,250173550003,250173521021,residential,commercial,42.368019,-71.075326
6,9349172244976518083,10529508575277322363,1126.5379808151722,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 10:36:30,10:38:35,250173523002,250173524002,residential,commercial,42.36279,-71.085498
230,1597945054426405042,7759044472965984783,9334.172306957244,1140,CARPOOL,EAT,HOME,2019-10-08 10:38:59,10:58:11,250173546003,250173521021,residential,commercial,42.369371,-71.077051
112,3394357662185960674,1649554144742804347,5149.888076739311,1020,BIKING,EAT,HOME,2019-10-08 10:48:14,11:05:23,250173541004,250173521021,residential,commercial,42.366444,-71.077742
116,15061562187635506135,1698305735233354507,3218.68,660,BIKING,EAT,HOME,2019-10-08 10:57:07,11:08:16,250173528002,250173523002,residential,commercial,42.363578,-71.083294
131,13441228906751986930,18236429848007848736,2253.0759616303444,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 10:57:07,11:00:58,250173528002,250173523002,residential,commercial,42.364393,-71.082097
94,10485700721757801304,153000154120153647,321.86800479620695,180,WALKING,EAT,HOME,2019-10-08 10:59:42,11:03:06,250173521011,250173521011,residential,commercial,42.371938,-71.075402
221,3183738461180693685,679794434536812168,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 11:00:17,11:01:41,250173524002,250173524002,residential,commercial,42.363468,-71.088546
262,16119210380901020175,9620749116809775322,1287.4720191848278,900,WALKING,EAT,WORK,2019-10-08 11:03:11,11:18:14,250173531011,250173524002,industrial,commercial,42.362666,-71.083994
100,184488348905401590,15526944503144085870,6276.426153478622,2280,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 11:08:59,11:47:12,250173546003,250173524002,residential,commercial,42.363164,-71.088442
114,2224067232570096167,16765485573988347130,1931.208076739311,1320,WALKING,EAT,HOME,2019-10-08 11:12:47,11:35:41,250173534001,250173524002,residential,commercial,42.362666,-71.083994
155,5979410163551770090,2936878374260844162,3379.6138465213776,360,PRIVATE_AUTO,EAT,WORK,2019-10-08 11:17:16,11:23:34,250173527003,250173521011,residential,commercial,42.371938,-71.075402
134,2324818019881133811,1923792789830554895,2092.1419232606886,1500,WALKING,EAT,HOME,2019-10-08 11:17:20,11:42:33,250173529002,250173524002,residential,commercial,42.36283,-71.087282
146,11713290958039151574,2623914471597518825,1126.5379808151722,120,CARPOOL,EAT,HOME,2019-10-08 11:19:19,11:21:38,250173522001,250173524002,residential,commercial,42.36279,-71.085498
144,14131935026948153904,2572227970185026164,1287.4720191848278,120,CARPOOL,EAT,HOME,2019-10-08 11:19:19,11:21:48,250173522001,250173524002,residential,commercial,42.363058,-71.092456
142,7641715091547597700,2525410152490475265,965.6040383696557,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 11:19:19,11:21:32,250173522001,250173524002,residential,commercial,42.362844,-71.087726
266,17742014059939131134,9876023497091224095,2735.878076739311,540,BIKING,EAT,HOME,2019-10-08 11:25:14,11:34:20,250173534001,250173524002,residential,commercial,42.362666,-71.083994
48,4904530318129921037,1291592644524144540,4988.953846521377,960,BIKING,EAT,HOME,2019-10-08 11:26:53,11:43:37,250173541004,250173521021,residential,commercial,42.369371,-71.077051
123,10578020029254596691,17258543924803561860,1931.208076739311,240,CARPOOL,EAT,HOME,2019-10-08 11:27:39,11:32:05,250173537002,250173524002,residential,commercial,42.363164,-71.088442
224,11715310863853796564,7205405818164491458,2735.878076739311,1980,WALKING,EAT,HOME,2019-10-08 11:27:39,12:01:17,250173537005,250173524002,residential,commercial,42.363468,-71.088546
118,15427837810373559722,17031734065173242346,482.80201918482777,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 11:28:27,11:29:28,250173523001,250173522001,residential,commercial,42.371742,-71.086793
182,18060150820416829035,5038001115028843618,1609.34,1200,WALKING,EAT,HOME,2019-10-08 11:29:15,11:49:18,250173530004,250173524002,residential,commercial,42.36335,-71.08775
5,12519018412884408009,10458422720898397443,1126.5379808151722,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 11:36:29,11:39:06,250173522001,250173521011,residential,commercial,42.371938,-71.075402
90,1167112013942706377,15156096902359601897,6598.293846521377,900,PRIVATE_AUTO,EAT,HOME,2019-10-08 11:37:14,11:52:18,250173547001,250173524002,residential,commercial,42.36335,-71.08775
169,6331341751551768279,3930951138264843109,1448.4059616303443,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 11:38:46,11:41:34,250173522001,250173524002,residential,commercial,42.363164,-71.088442
254,7305333956781191758,9251253276270750654,321.86800479620695,240,WALKING,EAT,HOME,2019-10-08 11:41:45,11:45:47,250173524001,250173524002,residential,commercial,42.363468,-71.088546
93,12441471666872754709,15220213856144371844,643.7360095924139,480,WALKING,EAT,HOME,2019-10-08 11:42:18,11:50:36,250173521011,250173521022,residential,commercial,42.372246,-71.07982
75,9079453750612783639,1434737011853566476,1770.2740383696555,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 11:47:12,11:50:49,250173526001,250173524002,residential,commercial,42.362854,-71.087715
80,4717252528735259143,14750205633671263377,0.0,0,WALKING,EAT,HOME,2019-10-08 11:52:37,11:52:48,250173524002,250173524002,residential,commercial,42.36335,-71.08775
167,8582797429545444021,3793967561038444936,0.0,0,WALKING,EAT,HOME,2019-10-08 11:56:41,11:57:02,250173524002,250173524002,residential,commercial,42.363058,-71.092456
120,11692796981035692510,17076488516372877726,1931.208076739311,1380,WALKING,EAT,HOME,2019-10-08 11:58:02,12:21:06,250173525002,250173524002,residential,commercial,42.36255,-71.085605
197,11368519138944511579,5641911536903577271,965.6040383696557,60,ON_DEMAND_AUTO,EAT,HOME,2019-10-08 12:00:02,12:01:23,250173522001,250173526001,residential,commercial,42.372072,-71.088896
219,13360797293124256424,6747408979614405056,965.6040383696557,660,WALKING,EAT,HOME,2019-10-08 12:00:02,12:11:02,250173522001,250173526001,residential,commercial,42.367958,-71.090294
76,4010182884483636256,1447828067614707860,1931.208076739311,1440,WALKING,EAT,HOME,2019-10-08 12:00:09,12:24:10,250173526002,250173523002,residential,commercial,42.36491,-71.08259
214,17981211609134074689,6284856508475756423,5632.69,720,PRIVATE_AUTO,EAT,HOME,2019-10-08 12:21:57,12:34:07,250173547002,250173523002,residential,commercial,42.366473,-71.078164
143,18104200837415563003,2570217273431809418,1448.4059616303443,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 12:30:22,12:33:14,250173523001,250173524002,residential,commercial,42.366056,-71.092182
138,17984633126215867882,23011900029365536,1448.4059616303443,780,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 12:38:10,12:51:56,250173529002,250173524002,residential,commercial,42.363164,-71.088442
156,13202279427255460775,3056933208779022100,0.0,0,WALKING,EAT,HOME,2019-10-08 12:45:17,12:45:34,250173524002,250173524002,residential,commercial,42.363164,-71.088442
137,3055722761579741753,2254737663587016113,2253.0759616303444,1560,WALKING,EAT,HOME,2019-10-08 12:46:08,13:13:01,250173525001,250173521021,residential,commercial,42.368019,-71.075326
222,10438984729179044591,6908798115105126630,965.6040383696557,720,WALKING,EAT,HOME,2019-10-08 12:47:43,12:59:50,250173522001,250173524002,residential,commercial,42.363148,-71.093133
125,12850861549364038196,17557582941779865879,2896.8119232606887,540,BIKING,EAT,HOME,2019-10-08 13:11:44,13:21:21,250173533003,250173526001,residential,commercial,42.372072,-71.088896
42,14170395939643499937,12514330182621156670,5954.558076739311,780,CARPOOL,EAT,HOME,2019-10-08 13:18:47,13:31:52,250173550002,250173521021,residential,commercial,42.369817,-71.077794
102,11335713796830519976,15613186275012706653,2735.878076739311,360,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:20:18,13:27:09,250173536001,250173522001,residential,commercial,42.371446,-71.084462
215,6062463963847312624,6293464367997296913,643.7360095924139,420,WALKING,EAT,HOME,2019-10-08 13:29:47,13:36:53,250173526001,250173522001,residential,commercial,42.371654,-71.086311
189,51081146387844357,5445056856591037219,482.80201918482777,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:29:57,13:31:05,250173521021,250173521022,residential,commercial,42.371232,-71.080153
73,1429765423091133776,14344347517328355484,7885.766153478622,720,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:30:28,13:42:52,250173540001,250173521021,residential,commercial,42.369371,-71.077051
227,14882397562967095757,742798034386921827,1287.4720191848278,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:32:05,13:34:06,250173522001,250173521021,residential,commercial,42.368019,-71.075326
192,16497943413166180792,5557504389563542090,1448.4059616303443,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:32:05,13:34:28,250173523001,250173521011,residential,commercial,42.371938,-71.075402
106,4566707306715877755,16049394361203626792,1126.5379808151722,780,WALKING,EAT,HOME,2019-10-08 13:32:17,13:46:01,250173522001,250173521011,residential,commercial,42.371938,-71.075402
207,16444685055216726707,605539796648500937,6276.426153478622,780,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:36:32,13:49:33,250173532002,250173524002,residential,commercial,42.363148,-71.093133
152,15999169556046965794,2772301956220969783,1609.34,300,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:38:11,13:43:14,250173527002,250173524002,residential,commercial,42.363694,-71.087271
241,4561173481232966110,8311661590385197443,643.7360095924139,420,WALKING,EAT,HOME,2019-10-08 13:38:31,13:45:59,250173525001,250173524002,residential,commercial,42.365031,-71.092656
151,5314846192294491053,2747042269465624747,1126.5379808151722,180,BIKING,EAT,HOME,2019-10-08 13:41:39,13:45:19,250173526001,250173524002,residential,commercial,42.36279,-71.085498
122,7018560487298901509,17157518984857060696,643.7360095924139,60,BIKING,EAT,HOME,2019-10-08 13:43:24,13:45:23,250173526002,250173524002,residential,commercial,42.363468,-71.088546
177,1876917502888948396,4410574891678137133,482.80201918482777,300,WALKING,EAT,HOME,2019-10-08 13:43:33,13:48:47,250173523001,250173522001,residential,commercial,42.371742,-71.086793
24,12669400130250221387,11177500893142584574,965.6040383696557,720,WALKING,EAT,HOME,2019-10-08 13:49:37,14:02:09,250173530004,250173524002,residential,commercial,42.366056,-71.092182
71,17805969409042658323,14246001119293977644,4345.218076739311,600,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:51:36,14:01:36,250173546003,250173524002,residential,commercial,42.365031,-71.092656
236,11013091606922250020,8026019449942569272,4828.02,600,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:51:43,14:01:57,250173547001,250173521021,residential,commercial,42.369371,-71.077051
51,447804071289774065,1306031188897668517,3701.4819232606887,540,PRIVATE_AUTO,EAT,HOME,2019-10-08 13:51:43,14:00:43,250173547001,250173524002,residential,commercial,42.363027,-71.091578
157,15031846470938940004,3088416328352952836,1931.208076739311,1380,WALKING,EAT,HOME,2019-10-08 14:00:02,14:23:20,250173525001,250173524002,residential,commercial,42.36255,-71.085605
91,13767959998507295693,15192453660527623721,482.80201918482777,300,WALKING,EAT,HOME,2019-10-08 14:01:05,14:06:15,250173524001,250173524002,residential,commercial,42.363148,-71.093133
59,8043811951054721263,13708321811494824950,6598.293846521377,1320,BIKING,EAT,HOME,2019-10-08 14:01:27,14:24:00,250173548002,250173521021,residential,commercial,42.367183,-71.074439
8,15408898202111594276,10549889694626132246,0.0,0,WALKING,EAT,HOME,2019-10-08 14:04:19,14:04:40,250173524002,250173524002,residential,commercial,42.365031,-71.092656
162,5582830572464308831,3280187129321734915,8046.7,960,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:05:28,14:21:54,250173549001,250173524002,residential,commercial,42.363027,-71.091578
158,8448346266773971059,3219505769295261772,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 14:08:30,14:10:19,250173525002,250173524002,residential,commercial,42.363039,-71.088413
101,15438173768365716959,1556089822104476599,804.67,60,CARPOOL,EAT,HOME,2019-10-08 14:08:41,14:10:38,250173528002,250173524002,residential,commercial,42.363027,-71.091578
62,271179609330213118,13743778768521918428,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 14:28:10,14:29:30,250173522001,250173522001,residential,commercial,42.371948,-71.085774
217,8081428244405242178,6417897220718577370,482.80201918482777,60,PRIVATE_AUTO,EAT,WORK,2019-10-08 14:28:15,14:29:38,250173531012,250173524002,industrial,commercial,42.363468,-71.088546
18,15068070050201062329,10905823059763070115,965.6040383696557,180,BIKING,EAT,HOME,2019-10-08 14:28:23,14:31:49,250173526001,250173524002,residential,commercial,42.363101,-71.087854
232,17700077433569274673,7824631784587109588,321.86800479620695,0,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:30:00,14:30:41,250173525002,250173524002,residential,commercial,42.362666,-71.083994
194,4366309646979398718,5579672983271026624,482.80201918482777,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:34:13,14:35:23,250173522001,250173521022,residential,commercial,42.371827,-71.079453
216,6411127273873395036,6303550377445408820,482.80201918482777,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:34:13,14:35:27,250173521022,250173521022,residential,commercial,42.371476,-71.081655
41,3369494421080827598,12455348124401335084,1287.4720191848278,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:34:36,14:37:58,250173526001,250173524002,residential,commercial,42.363027,-71.091578
103,331196821700851889,15614785412838257923,1448.4059616303443,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:36:52,14:40:02,250173521022,250173524002,residential,commercial,42.363164,-71.088442
54,17185856863846790382,13435061925522476241,2414.01,300,CARPOOL,EAT,HOME,2019-10-08 14:41:23,14:46:49,250173527002,250173524002,residential,commercial,42.36279,-71.085498
