tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
267,2019-10-8 20:23:58,2019-10-8 20:28:25,,,,,,,,,,,,,,,,,,,,
454,2019-10-8 18:22:24,2019-10-8 18:29:58,,,,,,,,,,,,,,,,,,,,
302,2019-10-8 17:51:53,2019-10-8 17:56:55,,,,,,,,,,,,,,,,,,,,
286,2019-10-8 11:39:32,2019-10-8 11:44:18,,,,,,,,,,,,,,,,,,,,
482,2019-10-8 18:01:17,2019-10-8 18:09:19,,,,,,,,,,,,,,,,,,,,
810,2019-10-8 17:58:29,2019-10-8 18:11:59,,,,,,,,,,,,,,,,,,,,
187,2019-10-8 12:23:54,2019-10-8 12:27:1,,,,,,,,,,,,,,,,,,,,
227,2019-10-8 19:56:31,2019-10-8 20:00:18,,,,,,,,,,,,,,,,,,,,
347,2019-10-8 20:22:32,2019-10-8 20:28:19,,,,,,,,,,,,,,,,,,,,
320,2019-10-8 11:33:59,2019-10-8 11:39:19,,,,,,,,,,,,,,,,,,,,
224,2019-10-8 11:54:7,2019-10-8 11:57:51,,,,,,,,,,,,,,,,,,,,
460,2019-10-8 20:41:15,2019-10-8 20:48:55,,,,,,,,,,,,,,,,,,,,
557,2019-10-8 18:14:28,2019-10-8 18:23:45,,,,,,,,,,,,,,,,,,,,
300,2019-10-8 17:12:8,2019-10-8 17:17:8,,,,,,,,,,,,,,,,,,,,
95,2019-10-8 19:16:16,2019-10-8 19:17:51,,,,,,,,,,,,,,,,,,,,
437,2019-10-8 12:46:45,2019-10-8 12:54:2,,,,,,,,,,,,,,,,,,,,
173,2019-10-8 17:28:28,2019-10-8 17:31:21,,,,,,,,,,,,,,,,,,,,
479,2019-10-8 11:11:10,2019-10-8 11:19:9,,,,,,,,,,,,,,,,,,,,
167,2019-10-8 17:29:10,2019-10-8 17:31:57,,,,,,,,,,,,,,,,,,,,
340,2019-10-8 13:22:1,2019-10-8 13:27:41,,,,,,,,,,,,,,,,,,,,
373,2019-10-8 19:59:5,2019-10-8 20:05:18,,,,,,,,,,,,,,,,,,,,
155,2019-10-8 17:44:20,2019-10-8 17:46:55,,,,,,,,,,,,,,,,,,,,
390,2019-10-8 20:13:35,2019-10-8 20:20:5,,,,,,,,,,,,,,,,,,,,
335,2019-10-8 19:47:58,2019-10-8 19:53:33,,,,,,,,,,,,,,,,,,,,
297,2019-10-8 11:56:19,2019-10-8 12:01:16,,,,,,,,,,,,,,,,,,,,
438,2019-10-8 11:59:1,2019-10-8 12:06:19,,,,,,,,,,,,,,,,,,,,
293,2019-10-8 19:54:42,2019-10-8 19:59:35,,,,,,,,,,,,,,,,,,,,
255,2019-10-8 17:47:57,2019-10-8 17:52:12,,,,,,,,,,,,,,,,,,,,
196,2019-10-8 17:38:10,2019-10-8 17:41:26,,,,,,,,,,,,,,,,,,,,
510,2019-10-8 20:38:45,2019-10-8 20:47:15,,,,,,,,,,,,,,,,,,,,
248,2019-10-8 19:17:29,2019-10-8 19:21:37,,,,,,,,,,,,,,,,,,,,
304,2019-10-8 20:05:34,2019-10-8 20:10:38,,,,,,,,,,,,,,,,,,,,
289,2019-10-8 17:38:33,2019-10-8 17:43:22,,,,,,,,,,,,,,,,,,,,
185,2019-10-8 11:39:34,2019-10-8 11:42:39,,,,,,,,,,,,,,,,,,,,
190,2019-10-8 20:09:56,2019-10-8 20:13:6,,,,,,,,,,,,,,,,,,,,
284,2019-10-8 12:05:40,2019-10-8 12:10:24,,,,,,,,,,,,,,,,,,,,
275,2019-10-8 20:36:58,2019-10-8 20:41:33,,,,,,,,,,,,,,,,,,,,
387,2019-10-8 11:02:0,2019-10-8 11:08:27,,,,,,,,,,,,,,,,,,,,
214,2019-10-8 13:11:25,2019-10-8 13:14:59,,,,,,,,,,,,,,,,,,,,
459,2019-10-8 13:31:40,2019-10-8 13:39:19,,,,,,,,,,,,,,,,,,,,
435,2019-10-8 18:48:51,2019-10-8 18:56:6,,,,,,,,,,,,,,,,,,,,
232,2019-10-8 17:56:3,2019-10-8 17:59:55,,,,,,,,,,,,,,,,,,,,
327,2019-10-8 17:29:8,2019-10-8 17:34:35,,,,,,,,,,,,,,,,,,,,
544,2019-10-8 19:27:23,2019-10-8 19:36:27,,,,,,,,,,,,,,,,,,,,
139,2019-10-8 20:46:28,2019-10-8 20:48:47,,,,,,,,,,,,,,,,,,,,
179,2019-10-8 20:44:19,2019-10-8 20:47:18,,,,,,,,,,,,,,,,,,,,
384,2019-10-8 19:17:2,2019-10-8 19:23:26,,,,,,,,,,,,,,,,,,,,
187,2019-10-8 19:21:19,2019-10-8 19:24:26,,,,,,,,,,,,,,,,,,,,
224,2019-10-8 11:29:40,2019-10-8 11:33:24,,,,,,,,,,,,,,,,,,,,
113,2019-10-8 18:58:47,2019-10-8 19:00:40,,,,,,,,,,,,,,,,,,,,
608,2019-10-8 13:42:41,2019-10-8 13:52:49,,,,,,,,,,,,,,,,,,,,
285,2019-10-8 19:50:1,2019-10-8 19:54:46,,,,,,,,,,,,,,,,,,,,
265,2019-10-8 19:24:3,2019-10-8 19:28:28,,,,,,,,,,,,,,,,,,,,
452,2019-10-8 17:00:30,2019-10-8 17:08:2,,,,,,,,,,,,,,,,,,,,
183,2019-10-8 13:42:26,2019-10-8 13:45:29,,,,,,,,,,,,,,,,,,,,
242,2019-10-8 19:19:28,2019-10-8 19:23:30,,,,,,,,,,,,,,,,,,,,
266,2019-10-8 13:26:57,2019-10-8 13:31:23,,,,,,,,,,,,,,,,,,,,
215,2019-10-8 19:20:55,2019-10-8 19:24:30,,,,,,,,,,,,,,,,,,,,
354,2019-10-8 11:30:4,2019-10-8 11:35:58,,,,,,,,,,,,,,,,,,,,
331,2019-10-8 12:00:48,2019-10-8 12:06:19,,,,,,,,,,,,,,,,,,,,
327,2019-10-8 20:04:18,2019-10-8 20:09:45,,,,,,,,,,,,,,,,,,,,
370,2019-10-8 19:41:47,2019-10-8 19:47:57,,,,,,,,,,,,,,,,,,,,
325,2019-10-8 18:29:55,2019-10-8 18:35:20,,,,,,,,,,,,,,,,,,,,
448,2019-10-8 19:57:27,2019-10-8 20:04:55,,,,,,,,,,,,,,,,,,,,
388,2019-10-8 18:49:8,2019-10-8 18:55:36,,,,,,,,,,,,,,,,,,,,
458,2019-10-8 19:47:25,2019-10-8 19:55:3,,,,,,,,,,,,,,,,,,,,
223,2019-10-8 12:41:32,2019-10-8 12:45:15,,,,,,,,,,,,,,,,,,,,
314,2019-10-8 13:37:5,2019-10-8 13:42:19,,,,,,,,,,,,,,,,,,,,
106,2019-10-8 13:15:10,2019-10-8 13:16:56,,,,,,,,,,,,,,,,,,,,
100,2019-10-8 20:07:4,2019-10-8 20:08:44,,,,,,,,,,,,,,,,,,,,
98,2019-10-8 12:28:16,2019-10-8 12:29:54,,,,,,,,,,,,,,,,,,,,
97,2019-10-8 18:54:16,2019-10-8 18:55:53,,,,,,,,,,,,,,,,,,,,
249,2019-10-8 18:51:49,2019-10-8 18:55:58,,,,,,,,,,,,,,,,,,,,
141,2019-10-8 13:17:44,2019-10-8 13:20:5,,,,,,,,,,,,,,,,,,,,
230,2019-10-8 20:20:42,2019-10-8 20:24:32,,,,,,,,,,,,,,,,,,,,
69,2019-10-8 19:56:36,2019-10-8 19:57:45,,,,,,,,,,,,,,,,,,,,
66,2019-10-8 19:45:59,2019-10-8 19:47:5,,,,,,,,,,,,,,,,,,,,
68,2019-10-8 11:24:20,2019-10-8 11:25:28,,,,,,,,,,,,,,,,,,,,
171,2019-10-8 17:28:50,2019-10-8 17:31:41,,,,,,,,,,,,,,,,,,,,
282,2019-10-8 20:40:4,2019-10-8 20:44:46,,,,,,,,,,,,,,,,,,,,
271,2019-10-8 11:39:6,2019-10-8 11:43:37,,,,,,,,,,,,,,,,,,,,
83,2019-10-8 13:29:38,2019-10-8 13:31:1,,,,,,,,,,,,,,,,,,,,
362,2019-10-8 12:22:28,2019-10-8 12:28:30,,,,,,,,,,,,,,,,,,,,
502,2019-10-8 18:36:46,2019-10-8 18:45:8,,,,,,,,,,,,,,,,,,,,
145,2019-10-8 13:03:36,2019-10-8 13:06:1,,,,,,,,,,,,,,,,,,,,
155,2019-10-8 18:43:41,2019-10-8 18:46:16,,,,,,,,,,,,,,,,,,,,
350,2019-10-8 18:37:27,2019-10-8 18:43:17,,,,,,,,,,,,,,,,,,,,
101,2019-10-8 18:42:32,2019-10-8 18:44:13,,,,,,,,,,,,,,,,,,,,
333,2019-10-8 11:35:28,2019-10-8 11:41:1,,,,,,,,,,,,,,,,,,,,
216,2019-10-8 11:36:50,2019-10-8 11:40:26,,,,,,,,,,,,,,,,,,,,
227,2019-10-8 18:22:26,2019-10-8 18:26:13,,,,,,,,,,,,,,,,,,,,
176,2019-10-8 20:15:22,2019-10-8 20:18:18,,,,,,,,,,,,,,,,,,,,
339,2019-10-8 11:59:14,2019-10-8 12:04:53,,,,,,,,,,,,,,,,,,,,
189,2019-10-8 13:43:2,2019-10-8 13:46:11,,,,,,,,,,,,,,,,,,,,
850,2019-10-8 12:39:13,2019-10-8 12:53:23,,,,,,,,,,,,,,,,,,,,
292,2019-10-8 17:27:28,2019-10-8 17:32:20,,,,,,,,,,,,,,,,,,,,
307,2019-10-8 13:30:0,2019-10-8 13:35:7,,,,,,,,,,,,,,,,,,,,
711,2019-10-8 19:32:4,2019-10-8 19:43:55,,,,,,,,,,,,,,,,,,,,
201,2019-10-8 20:48:49,2019-10-8 20:52:10,,,,,,,,,,,,,,,,,,,,
265,2019-10-8 13:10:41,2019-10-8 13:15:6,,,,,,,,,,,,,,,,,,,,
337,2019-10-8 11:04:37,2019-10-8 11:10:14,,,,,,,,,,,,,,,,,,,,
428,2019-10-8 12:46:47,2019-10-8 12:53:55,,,,,,,,,,,,,,,,,,,,
394,2019-10-8 13:09:16,2019-10-8 13:15:50,,,,,,,,,,,,,,,,,,,,
245,2019-10-8 11:00:16,2019-10-8 11:04:21,,,,,,,,,,,,,,,,,,,,
414,2019-10-8 18:16:47,2019-10-8 18:23:41,,,,,,,,,,,,,,,,,,,,
344,2019-10-8 19:07:19,2019-10-8 19:13:3,,,,,,,,,,,,,,,,,,,,
519,2019-10-8 17:07:9,2019-10-8 17:15:48,,,,,,,,,,,,,,,,,,,,
636,2019-10-8 13:18:25,2019-10-8 13:29:1,,,,,,,,,,,,,,,,,,,,
995,2019-10-8 20:45:20,2019-10-8 21:01:55,,,,,,,,,,,,,,,,,,,,
1290,2019-10-8 11:58:33,2019-10-8 12:20:3,,,,,,,,,,,,,,,,,,,,
515,2019-10-8 17:48:36,2019-10-8 17:57:11,,,,,,,,,,,,,,,,,,,,
636,2019-10-8 11:47:15,2019-10-8 11:57:51,,,,,,,,,,,,,,,,,,,,
2479,2019-10-8 17:29:29,2019-10-8 18:10:48,,,,,,,,,,,,,,,,,,,,
429,2019-10-8 11:22:33,2019-10-8 11:29:42,,,,,,,,,,,,,,,,,,,,
888,2019-10-8 19:41:35,2019-10-8 19:56:23,,,,,,,,,,,,,,,,,,,,
491,2019-10-8 13:46:6,2019-10-8 13:54:17,,,,,,,,,,,,,,,,,,,,
91,2019-10-8 12:41:19,2019-10-8 12:42:50,,,,,,,,,,,,,,,,,,,,
465,2019-10-8 11:39:50,2019-10-8 11:47:35,,,,,,,,,,,,,,,,,,,,
230,2019-10-8 17:47:24,2019-10-8 17:51:14,,,,,,,,,,,,,,,,,,,,
319,2019-10-8 12:46:37,2019-10-8 12:51:56,,,,,,,,,,,,,,,,,,,,
485,2019-10-8 11:27:42,2019-10-8 11:35:47,,,,,,,,,,,,,,,,,,,,
211,2019-10-8 20:53:17,2019-10-8 20:56:48,,,,,,,,,,,,,,,,,,,,
503,2019-10-8 11:14:32,2019-10-8 11:22:55,,,,,,,,,,,,,,,,,,,,
439,2019-10-8 13:24:52,2019-10-8 13:32:11,,,,,,,,,,,,,,,,,,,,
499,2019-10-8 12:30:32,2019-10-8 12:38:51,,,,,,,,,,,,,,,,,,,,
262,2019-10-8 13:06:14,2019-10-8 13:10:36,,,,,,,,,,,,,,,,,,,,
1315,2019-10-8 13:04:15,2019-10-8 13:26:10,,,,,,,,,,,,,,,,,,,,
251,2019-10-8 11:00:53,2019-10-8 11:05:4,,,,,,,,,,,,,,,,,,,,
175,2019-10-8 13:51:1,2019-10-8 13:53:56,,,,,,,,,,,,,,,,,,,,
175,2019-10-8 12:42:44,2019-10-8 12:45:39,,,,,,,,,,,,,,,,,,,,
370,2019-10-8 11:17:23,2019-10-8 11:23:33,,,,,,,,,,,,,,,,,,,,
349,2019-10-8 20:06:25,2019-10-8 20:12:14,,,,,,,,,,,,,,,,,,,,
321,2019-10-8 12:41:50,2019-10-8 12:47:11,,,,,,,,,,,,,,,,,,,,
149,2019-10-8 18:25:45,2019-10-8 18:28:14,,,,,,,,,,,,,,,,,,,,
351,2019-10-8 11:54:40,2019-10-8 12:00:31,,,,,,,,,,,,,,,,,,,,
367,2019-10-8 12:58:17,2019-10-8 13:04:24,,,,,,,,,,,,,,,,,,,,
363,2019-10-8 20:57:23,2019-10-8 21:03:26,,,,,,,,,,,,,,,,,,,,
266,2019-10-8 19:38:9,2019-10-8 19:42:35,,,,,,,,,,,,,,,,,,,,
439,2019-10-8 20:23:2,2019-10-8 20:30:21,,,,,,,,,,,,,,,,,,,,
352,2019-10-8 18:24:1,2019-10-8 18:29:53,,,,,,,,,,,,,,,,,,,,
478,2019-10-8 19:40:59,2019-10-8 19:48:57,,,,,,,,,,,,,,,,,,,,
278,2019-10-8 11:08:0,2019-10-8 11:12:38,,,,,,,,,,,,,,,,,,,,
311,2019-10-8 18:38:48,2019-10-8 18:43:59,,,,,,,,,,,,,,,,,,,,
375,2019-10-8 11:07:56,2019-10-8 11:14:11,,,,,,,,,,,,,,,,,,,,
323,2019-10-8 11:57:54,2019-10-8 12:03:17,,,,,,,,,,,,,,,,,,,,
692,2019-10-8 11:37:37,2019-10-8 11:49:9,,,,,,,,,,,,,,,,,,,,
272,2019-10-8 12:32:27,2019-10-8 12:36:59,,,,,,,,,,,,,,,,,,,,
123,2019-10-8 19:25:25,2019-10-8 19:27:28,,,,,,,,,,,,,,,,,,,,
261,2019-10-8 20:39:1,2019-10-8 20:43:22,,,,,,,,,,,,,,,,,,,,
238,2019-10-8 17:06:44,2019-10-8 17:10:42,,,,,,,,,,,,,,,,,,,,
266,2019-10-8 13:01:5,2019-10-8 13:05:31,,,,,,,,,,,,,,,,,,,,
292,2019-10-8 18:26:1,2019-10-8 18:30:53,,,,,,,,,,,,,,,,,,,,
394,2019-10-8 13:20:54,2019-10-8 13:27:28,,,,,,,,,,,,,,,,,,,,
315,2019-10-8 11:46:13,2019-10-8 11:51:28,,,,,,,,,,,,,,,,,,,,
169,2019-10-8 13:30:34,2019-10-8 13:33:23,,,,,,,,,,,,,,,,,,,,
193,2019-10-8 12:53:43,2019-10-8 12:56:56,,,,,,,,,,,,,,,,,,,,
128,2019-10-8 20:26:11,2019-10-8 20:28:19,,,,,,,,,,,,,,,,,,,,
316,2019-10-8 13:11:45,2019-10-8 13:17:1,,,,,,,,,,,,,,,,,,,,
274,2019-10-8 18:50:54,2019-10-8 18:55:28,,,,,,,,,,,,,,,,,,,,
1140,2019-10-8 17:40:14,2019-10-8 17:59:14,,,,,,,,,,,,,,,,,,,,
284,2019-10-8 20:20:38,2019-10-8 20:25:22,,,,,,,,,,,,,,,,,,,,
593,2019-10-8 19:21:8,2019-10-8 19:31:1,,,,,,,,,,,,,,,,,,,,
626,2019-10-8 13:48:2,2019-10-8 13:58:28,,,,,,,,,,,,,,,,,,,,
241,2019-10-8 12:35:4,2019-10-8 12:39:5,,,,,,,,,,,,,,,,,,,,
481,2019-10-8 20:40:10,2019-10-8 20:48:11,,,,,,,,,,,,,,,,,,,,
160,2019-10-8 20:48:13,2019-10-8 20:50:53,,,,,,,,,,,,,,,,,,,,
462,2019-10-8 17:43:58,2019-10-8 17:51:40,,,,,,,,,,,,,,,,,,,,
108,2019-10-8 20:27:12,2019-10-8 20:29:0,,,,,,,,,,,,,,,,,,,,
227,2019-10-8 11:53:19,2019-10-8 11:57:6,,,,,,,,,,,,,,,,,,,,
215,2019-10-8 18:57:35,2019-10-8 19:01:10,,,,,,,,,,,,,,,,,,,,
375,2019-10-8 13:17:45,2019-10-8 13:24:0,,,,,,,,,,,,,,,,,,,,
361,2019-10-8 11:15:13,2019-10-8 11:21:14,,,,,,,,,,,,,,,,,,,,
240,2019-10-8 20:27:6,2019-10-8 20:31:6,,,,,,,,,,,,,,,,,,,,
429,2019-10-8 11:05:16,2019-10-8 11:12:25,,,,,,,,,,,,,,,,,,,,
1173,2019-10-8 17:28:9,2019-10-8 17:47:42,,,,,,,,,,,,,,,,,,,,
1181,2019-10-8 13:59:33,2019-10-8 14:19:14,,,,,,,,,,,,,,,,,,,,
1137,2019-10-8 18:10:33,2019-10-8 18:29:30,,,,,,,,,,,,,,,,,,,,
119,2019-10-8 19:52:56,2019-10-8 19:54:55,,,,,,,,,,,,,,,,,,,,
348,2019-10-8 12:43:57,2019-10-8 12:49:45,,,,,,,,,,,,,,,,,,,,
381,2019-10-8 11:48:45,2019-10-8 11:55:6,,,,,,,,,,,,,,,,,,,,
889,2019-10-8 11:59:5,2019-10-8 12:13:54,,,,,,,,,,,,,,,,,,,,
849,2019-10-8 11:20:29,2019-10-8 11:34:38,,,,,,,,,,,,,,,,,,,,
533,2019-10-8 20:43:22,2019-10-8 20:52:15,,,,,,,,,,,,,,,,,,,,
263,2019-10-8 19:41:51,2019-10-8 19:46:14,,,,,,,,,,,,,,,,,,,,
280,2019-10-8 12:32:47,2019-10-8 12:37:27,,,,,,,,,,,,,,,,,,,,
340,2019-10-8 17:41:57,2019-10-8 17:47:37,,,,,,,,,,,,,,,,,,,,
296,2019-10-8 13:36:21,2019-10-8 13:41:17,,,,,,,,,,,,,,,,,,,,
251,2019-10-8 13:44:47,2019-10-8 13:48:58,,,,,,,,,,,,,,,,,,,,
179,2019-10-8 20:00:58,2019-10-8 20:03:57,,,,,,,,,,,,,,,,,,,,
227,2019-10-8 19:30:52,2019-10-8 19:34:39,,,,,,,,,,,,,,,,,,,,
360,2019-10-8 11:51:49,2019-10-8 11:57:49,,,,,,,,,,,,,,,,,,,,
282,2019-10-8 18:00:31,2019-10-8 18:05:13,,,,,,,,,,,,,,,,,,,,
244,2019-10-8 17:29:45,2019-10-8 17:33:49,,,,,,,,,,,,,,,,,,,,
274,2019-10-8 12:10:52,2019-10-8 12:15:26,,,,,,,,,,,,,,,,,,,,
216,2019-10-8 17:06:39,2019-10-8 17:10:15,,,,,,,,,,,,,,,,,,,,
644,2019-10-8 20:26:0,2019-10-8 20:36:44,,,,,,,,,,,,,,,,,,,,
236,2019-10-8 11:26:21,2019-10-8 11:30:17,,,,,,,,,,,,,,,,,,,,
569,2019-10-8 20:41:40,2019-10-8 20:51:9,,,,,,,,,,,,,,,,,,,,
762,2019-10-8 18:33:55,2019-10-8 18:46:37,,,,,,,,,,,,,,,,,,,,
401,2019-10-8 17:51:4,2019-10-8 17:57:45,,,,,,,,,,,,,,,,,,,,
382,2019-10-8 13:34:13,2019-10-8 13:40:35,,,,,,,,,,,,,,,,,,,,
573,2019-10-8 17:25:20,2019-10-8 17:34:53,,,,,,,,,,,,,,,,,,,,
151,2019-10-8 12:27:16,2019-10-8 12:29:47,,,,,,,,,,,,,,,,,,,,
139,2019-10-8 20:27:52,2019-10-8 20:30:11,,,,,,,,,,,,,,,,,,,,
220,2019-10-8 17:46:25,2019-10-8 17:50:5,,,,,,,,,,,,,,,,,,,,
234,2019-10-8 12:29:36,2019-10-8 12:33:30,,,,,,,,,,,,,,,,,,,,
313,2019-10-8 17:20:8,2019-10-8 17:25:21,,,,,,,,,,,,,,,,,,,,
428,2019-10-8 11:41:37,2019-10-8 11:48:45,,,,,,,,,,,,,,,,,,,,
324,2019-10-8 20:16:42,2019-10-8 20:22:6,,,,,,,,,,,,,,,,,,,,
417,2019-10-8 11:33:47,2019-10-8 11:40:44,,,,,,,,,,,,,,,,,,,,
399,2019-10-8 11:15:59,2019-10-8 11:22:38,,,,,,,,,,,,,,,,,,,,
347,2019-10-8 20:45:0,2019-10-8 20:50:47,,,,,,,,,,,,,,,,,,,,
413,2019-10-8 11:13:16,2019-10-8 11:20:9,,,,,,,,,,,,,,,,,,,,
140,2019-10-8 18:43:16,2019-10-8 18:45:36,,,,,,,,,,,,,,,,,,,,
1007,2019-10-8 11:10:8,2019-10-8 11:26:55,,,,,,,,,,,,,,,,,,,,
277,2019-10-8 18:01:41,2019-10-8 18:06:18,,,,,,,,,,,,,,,,,,,,
234,2019-10-8 13:35:16,2019-10-8 13:39:10,,,,,,,,,,,,,,,,,,,,
301,2019-10-8 19:03:34,2019-10-8 19:08:35,,,,,,,,,,,,,,,,,,,,
289,2019-10-8 18:03:57,2019-10-8 18:08:46,,,,,,,,,,,,,,,,,,,,
184,2019-10-8 11:40:58,2019-10-8 11:44:2,,,,,,,,,,,,,,,,,,,,
295,2019-10-8 12:25:34,2019-10-8 12:30:29,,,,,,,,,,,,,,,,,,,,
313,2019-10-8 13:14:6,2019-10-8 13:19:19,,,,,,,,,,,,,,,,,,,,
75,2019-10-8 19:20:29,2019-10-8 19:21:44,,,,,,,,,,,,,,,,,,,,
186,2019-10-8 20:20:35,2019-10-8 20:23:41,,,,,,,,,,,,,,,,,,,,
490,2019-10-8 11:41:55,2019-10-8 11:50:5,,,,,,,,,,,,,,,,,,,,
694,2019-10-8 11:38:0,2019-10-8 11:49:34,,,,,,,,,,,,,,,,,,,,
754,2019-10-8 20:04:55,2019-10-8 20:17:29,,,,,,,,,,,,,,,,,,,,
1107,2019-10-8 17:27:37,2019-10-8 17:46:4,,,,,,,,,,,,,,,,,,,,
506,2019-10-8 20:43:58,2019-10-8 20:52:24,,,,,,,,,,,,,,,,,,,,
325,2019-10-8 11:41:43,2019-10-8 11:47:8,,,,,,,,,,,,,,,,,,,,
330,2019-10-8 13:36:40,2019-10-8 13:42:10,,,,,,,,,,,,,,,,,,,,
251,2019-10-8 12:53:6,2019-10-8 12:57:17,,,,,,,,,,,,,,,,,,,,
318,2019-10-8 18:02:4,2019-10-8 18:07:22,,,,,,,,,,,,,,,,,,,,
191,2019-10-8 12:48:6,2019-10-8 12:51:17,,,,,,,,,,,,,,,,,,,,
292,2019-10-8 20:35:11,2019-10-8 20:40:3,,,,,,,,,,,,,,,,,,,,
229,2019-10-8 17:32:51,2019-10-8 17:36:40,,,,,,,,,,,,,,,,,,,,
238,2019-10-8 18:14:13,2019-10-8 18:18:11,,,,,,,,,,,,,,,,,,,,
236,2019-10-8 12:58:20,2019-10-8 13:02:16,,,,,,,,,,,,,,,,,,,,
178,2019-10-8 20:25:13,2019-10-8 20:28:11,,,,,,,,,,,,,,,,,,,,
408,2019-10-8 12:01:3,2019-10-8 12:07:51,,,,,,,,,,,,,,,,,,,,
476,2019-10-8 11:36:45,2019-10-8 11:44:41,,,,,,,,,,,,,,,,,,,,
111,2019-10-8 11:44:29,2019-10-8 11:46:20,,,,,,,,,,,,,,,,,,,,
342,2019-10-8 20:24:39,2019-10-8 20:30:21,,,,,,,,,,,,,,,,,,,,
271,2019-10-8 11:00:13,2019-10-8 11:04:44,,,,,,,,,,,,,,,,,,,,
219,2019-10-8 19:29:55,2019-10-8 19:33:34,,,,,,,,,,,,,,,,,,,,
475,2019-10-8 18:09:25,2019-10-8 18:17:20,,,,,,,,,,,,,,,,,,,,
540,2019-10-8 18:44:38,2019-10-8 18:53:38,,,,,,,,,,,,,,,,,,,,
164,2019-10-8 20:34:20,2019-10-8 20:37:4,,,,,,,,,,,,,,,,,,,,
186,2019-10-8 19:54:47,2019-10-8 19:57:53,,,,,,,,,,,,,,,,,,,,
346,2019-10-8 19:41:36,2019-10-8 19:47:22,,,,,,,,,,,,,,,,,,,,
244,2019-10-8 11:47:1,2019-10-8 11:51:5,,,,,,,,,,,,,,,,,,,,
362,2019-10-8 17:07:33,2019-10-8 17:13:35,,,,,,,,,,,,,,,,,,,,
735,2019-10-8 20:38:40,2019-10-8 20:50:55,,,,,,,,,,,,,,,,,,,,
697,2019-10-8 11:55:2,2019-10-8 12:06:39,,,,,,,,,,,,,,,,,,,,
2407,2019-10-8 12:45:30,2019-10-8 13:25:37,,,,,,,,,,,,,,,,,,,,
246,2019-10-8 12:36:51,2019-10-8 12:40:57,,,,,,,,,,,,,,,,,,,,
